flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,label
0.059236187,0.08802225,-0.03234361,-0.030404484,0.059084218,-0.00430898,-0.008943876,-0.02415612,-0.049135137,-0.03657265,0.07724835,0.013466311,0.013700934,0.010237987,-0.04283709,0.077242866,0.08852179,-0.01146872,-0.008441517,0.028909948,-0.118667856,-0.10969848,-0.040095575,0.02916871,-0.058249917,-0.056752104,-0.05778932,-0.0032516075,0.04328778,0.031362265,-0.039396405,-0.06784208,0.0014231689,-0.047574423,0.08863872,-0.022071375,-0.0016593821,0.03592303,-0.011808446,-0.056558233,-0.09443899,-0.0411705,0.086063795,-0.02613374,-0.06701176,0.031844012,BenignTraffic
0.059236187,0.08802225,-0.03234361,-0.030404484,0.059084218,-0.00430898,-0.008943876,-0.02415612,-0.049135137,-0.03657265,0.07724835,0.013466311,0.013700934,0.010237987,-0.04283709,0.077242866,0.08852179,-0.01146872,-0.008441517,0.028909948,-0.118667856,-0.10969848,-0.040095575,0.02916871,-0.058249917,-0.056752104,-0.05778932,-0.0032516075,0.04328778,0.031362265,-0.039396405,-0.06784208,0.0014231689,-0.047574423,0.08863872,-0.022071375,-0.0016593821,0.03592303,-0.011808446,-0.056558233,-0.09443899,-0.0411705,0.086063795,-0.02613374,-0.06701176,0.031844012,AttackTraffic
0.04609119,0.11336486,-0.07930134,-0.030150294,0.039124366,-0.00034250505,0.008645885,-0.07962564,-0.0010848306,-0.094996884,0.027710404,0.017173998,0.030326575,-0.019932793,-0.04119499,0.18029906,0.09168116,0.032863736,0.00255128,0.021522973,-0.17091846,-0.060042717,-0.053171266,0.04570921,-0.06338738,-0.0884545,-0.07482605,0.013573479,0.06259103,-0.034603924,-0.047505848,-0.08716597,0.023081537,0.0069917105,0.06503157,-0.043422647,0.0019643083,0.029073756,0.032798078,-0.07738039,-0.0699736,-0.064427465,0.1040436,-0.03965239,-0.07212819,0.06264929,BenignTraffic
0.04609119,0.11336486,-0.07930134,-0.030150294,0.039124366,-0.00034250505,0.008645885,-0.07962564,-0.0010848306,-0.094996884,0.027710404,0.017173998,0.030326575,-0.019932793,-0.04119499,0.18029906,0.09168116,0.032863736,0.00255128,0.021522973,-0.17091846,-0.060042717,-0.053171266,0.04570921,-0.06338738,-0.0884545,-0.07482605,0.013573479,0.06259103,-0.034603924,-0.047505848,-0.08716597,0.023081537,0.0069917105,0.06503157,-0.043422647,0.0019643083,0.029073756,0.032798078,-0.07738039,-0.0699736,-0.064427465,0.1040436,-0.03965239,-0.07212819,0.06264929,AttackTraffic
0.09376106,0.37735638,-0.10910883,0.12862527,0.16881883,0.06452261,-0.03119763,-0.05530592,0.13166958,-0.081380226,-0.02655213,0.0019213594,0.059497252,0.013904791,-0.1636683,0.4793818,-0.030841859,0.10046382,0.0040837657,-0.1278697,-0.19380699,-0.22387558,-0.10179345,0.15082566,-0.29822335,-0.058146924,-0.19522932,-0.009280011,0.1979094,-0.07565889,-0.22012731,-0.0016241055,-0.011285249,0.1568423,0.17053622,-0.1764678,-0.09405851,0.14538673,0.16591527,0.08445707,-0.11869601,-0.07496278,0.26906976,0.1586065,-0.061551407,0.15928188,BenignTraffic
0.09376106,0.37735638,-0.10910883,0.12862527,0.16881883,0.06452261,-0.03119763,-0.05530592,0.13166958,-0.081380226,-0.02655213,0.0019213594,0.059497252,0.013904791,-0.1636683,0.4793818,-0.030841859,0.10046382,0.0040837657,-0.1278697,-0.19380699,-0.22387558,-0.10179345,0.15082566,-0.29822335,-0.058146924,-0.19522932,-0.009280011,0.1979094,-0.07565889,-0.22012731,-0.0016241055,-0.011285249,0.1568423,0.17053622,-0.1764678,-0.09405851,0.14538673,0.16591527,0.08445707,-0.11869601,-0.07496278,0.26906976,0.1586065,-0.061551407,0.15928188,AttackTraffic
0.010688156,0.15155119,-0.007603066,-0.013056263,0.08818921,0.024430688,-0.015966946,-0.09087789,-0.076356776,-0.04372826,0.07841232,0.054531105,-0.03339302,0.0014092121,-0.11749746,0.12673956,0.1094604,-0.041608572,0.016175069,0.0017897077,-0.15282324,-0.120165884,-0.0580255,0.09559604,-0.039540935,-0.08902876,-0.09044081,0.016337838,0.055341512,-0.024682252,-0.07060016,-0.03451296,0.039536647,-0.006265249,0.08224909,0.008097289,-0.036152944,0.052699372,0.03424848,-0.04729915,-0.056011874,-0.045690067,0.103744015,-0.051282506,-0.06038086,0.09235614,BenignTraffic
0.010688156,0.15155119,-0.007603066,-0.013056263,0.08818921,0.024430688,-0.015966946,-0.09087789,-0.076356776,-0.04372826,0.07841232,0.054531105,-0.03339302,0.0014092121,-0.11749746,0.12673956,0.1094604,-0.041608572,0.016175069,0.0017897077,-0.15282324,-0.120165884,-0.0580255,0.09559604,-0.039540935,-0.08902876,-0.09044081,0.016337838,0.055341512,-0.024682252,-0.07060016,-0.03451296,0.039536647,-0.006265249,0.08224909,0.008097289,-0.036152944,0.052699372,0.03424848,-0.04729915,-0.056011874,-0.045690067,0.103744015,-0.051282506,-0.06038086,0.09235614,AttackTraffic
0.056714095,0.11957469,-0.08413133,-0.015402012,0.049748316,-0.01712403,0.00913446,-0.08549924,0.012225706,-0.10594329,0.02984399,0.0116839055,0.055578053,-0.02196995,-0.012921089,0.18321668,0.075686365,0.048222706,-0.0048904605,0.031168193,-0.1834071,-0.06586999,-0.06084717,0.047537252,-0.064568,-0.07990075,-0.07972214,0.01752074,0.07109283,-0.053268418,-0.031854916,-0.094225466,0.00882275,0.026192471,0.06241191,-0.06600279,-0.014196157,0.027164547,0.062985264,-0.077570826,-0.08344062,-0.047759935,0.114715375,-0.062381648,-0.07103254,0.05485457,BenignTraffic
0.056714095,0.11957469,-0.08413133,-0.015402012,0.049748316,-0.01712403,0.00913446,-0.08549924,0.012225706,-0.10594329,0.02984399,0.0116839055,0.055578053,-0.02196995,-0.012921089,0.18321668,0.075686365,0.048222706,-0.0048904605,0.031168193,-0.1834071,-0.06586999,-0.06084717,0.047537252,-0.064568,-0.07990075,-0.07972214,0.01752074,0.07109283,-0.053268418,-0.031854916,-0.094225466,0.00882275,0.026192471,0.06241191,-0.06600279,-0.014196157,0.027164547,0.062985264,-0.077570826,-0.08344062,-0.047759935,0.114715375,-0.062381648,-0.07103254,0.05485457,AttackTraffic
0.11084336,0.06294439,-0.05825098,0.056856576,0.100072354,-0.036993347,-0.055469476,-0.13094632,-0.034210917,-0.027524373,0.008004554,0.04694806,-0.049745176,-0.04332219,0.039254542,0.25422025,0.16677831,-0.021811426,-0.022487056,0.03761919,-0.030844,-0.061369926,0.03968613,0.13111353,-0.1552833,-0.0954974,-0.14940754,0.020601695,0.05649155,0.0014303364,-0.03623298,-0.07703986,-0.080734774,-0.025825925,0.08651302,-0.031455696,-0.113818035,0.08644643,-0.057585686,-0.11541903,-0.122392,-0.08079984,0.1452792,0.055269897,-0.059560224,0.033823095,BenignTraffic
0.11084336,0.06294439,-0.05825098,0.056856576,0.100072354,-0.036993347,-0.055469476,-0.13094632,-0.034210917,-0.027524373,0.008004554,0.04694806,-0.049745176,-0.04332219,0.039254542,0.25422025,0.16677831,-0.021811426,-0.022487056,0.03761919,-0.030844,-0.061369926,0.03968613,0.13111353,-0.1552833,-0.0954974,-0.14940754,0.020601695,0.05649155,0.0014303364,-0.03623298,-0.07703986,-0.080734774,-0.025825925,0.08651302,-0.031455696,-0.113818035,0.08644643,-0.057585686,-0.11541903,-0.122392,-0.08079984,0.1452792,0.055269897,-0.059560224,0.033823095,AttackTraffic
0.04580162,0.11279951,-0.07948531,-0.030464754,0.03951771,0.000267677,0.008480249,-0.07926762,-0.0018516034,-0.09438716,0.028024012,0.01787355,0.029331038,-0.01955374,-0.041312672,0.1803709,0.0918019,0.032458298,0.002955068,0.021353077,-0.17058843,-0.0607175,-0.052839965,0.045337427,-0.063567996,-0.088427596,-0.07484915,0.013145943,0.06250247,-0.034651242,-0.04809715,-0.086374655,0.023091085,0.006952077,0.06535512,-0.042349968,0.0021977797,0.02927455,0.03185121,-0.07818123,-0.06955396,-0.06516437,0.10378562,-0.038817003,-0.072525784,0.06295532,BenignTraffic
0.04580162,0.11279951,-0.07948531,-0.030464754,0.03951771,0.000267677,0.008480249,-0.07926762,-0.0018516034,-0.09438716,0.028024012,0.01787355,0.029331038,-0.01955374,-0.041312672,0.1803709,0.0918019,0.032458298,0.002955068,0.021353077,-0.17058843,-0.0607175,-0.052839965,0.045337427,-0.063567996,-0.088427596,-0.07484915,0.013145943,0.06250247,-0.034651242,-0.04809715,-0.086374655,0.023091085,0.006952077,0.06535512,-0.042349968,0.0021977797,0.02927455,0.03185121,-0.07818123,-0.06955396,-0.06516437,0.10378562,-0.038817003,-0.072525784,0.06295532,AttackTraffic
